rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
149,https://www.inc.com/profile/arcalea,Arcalea,arcalea.com,IL,2800000,2514.3021,Advertising & Marketing,12,2,2015,1,Chicago,Chicago,14
150,https://www.inc.com/profile/haga-kommer,Haga Kommer,hagakommer.com,ND,5500000,2506.9262,Financial Services,55,1,2006,2,Unknown,Fargo,56
151,https://www.inc.com/profile/waggl,Waggl,waggl.com,CA,4400000,2482.3452,Software,55,6,2014,1,San Francisco,Sausalito,61
152,https://www.inc.com/profile/roman-roofing,Roman Roofing,romanroofinginc.com,FL,21800000,2482.1293,Construction,71,21,2015,1,Unknown,Florida,92
153,https://www.inc.com/profile/akumina,Akumina,akumina.com,NH,4400000,2474.5437,Software,48,20,2011,1,Unknown,Nashua,68
154,https://www.inc.com/profile/shipmonk,ShipMonk,shipmonk.com,FL,28400000,2470.116,Logistics & Transportation,350,30,2014,2,Miami,Deerfield Beach,380
155,https://www.inc.com/profile/brillmediaco,BrillMedia.co,brillmedia.co,CA,4000000,2465.5724,Advertising & Marketing,5,1,2013,1,Los Angeles,Lake Balboa,6
156,https://www.inc.com/profile/rocket-insights,Rocket Insights,http://rocketinsights.com,MA,13600000,2417.9715,Software,58,5,2015,1,Boston,Boston,63
157,https://www.inc.com/profile/tridant-solutions,Tridant Solutions,tridantsolutions.com,CA,3000000,2415.7359,Government Services,42,5,2005,2,Los Angeles,Pasadena,47
158,https://www.inc.com/profile/esc-choice,ESC Choice,myesc.com,NY,20600000,2412.1029,Human Resources,545,166,2009,8,Unknown,Amherst,711
159,https://www.inc.com/profile/nugget,Nugget,nuggetcomfort.com,NC,3000000,2391.8563,Consumer Products & Services,15,3,2014,1,Unknown,Hillsborough,18
160,https://www.inc.com/profile/octopi-brewing,Octopi Brewing,http://octopibrewing.com,WI,4900000,2383.9486,Manufacturing,36,5,2014,1,"Madison, WI",Waunakee,41
161,https://www.inc.com/profile/knowbe4,KnowBe4,knowbe4.com,FL,72300000,2370.3591,Security,650,200,2010,4,Tampa,Clearwater,850
162,https://www.inc.com/profile/kinect-solar,Kinect Solar,http://kinectsolar.com,TX,13300000,2358.2483,Energy,8,2,2015,1,Austin,Austin,10
163,https://www.inc.com/profile/compliancequest,ComplianceQuest,compliancequest.com,FL,2500000,2356.7776,Software,60,25,2013,1,Tampa,Tampa,85
164,https://www.inc.com/profile/decisionpoint,DecisionPoint,decisionpointcorp.com,MD,15900000,2354.4235,IT Management,100,6,2011,1,"Washington, DC",Gaithersburg,106
165,https://www.inc.com/profile/bombas,Bombas,bombas.com,NY,100800000,2345.0086,Consumer Products & Services,63,11,2013,2,New York City,New York,74
166,https://www.inc.com/profile/jonas-paul-eyewear,Jonas Paul Eyewear,jonaspauleyewear.com,MI,3000000,2339.9302,Consumer Products & Services,12,3,2013,1,Unknown,Grand Rapids,15
167,https://www.inc.com/profile/tamimi-pharmacy,Tamimi Pharmacy,http://salhabpharmacy.com,FL,15500000,2313.8369,Health,40,8,2013,1,Tampa,Temple Terrace,48
168,https://www.inc.com/profile/ad-hoc,Ad Hoc,adhoc.team,MD,53100000,2305.0499,Government Services,199,2,2014,1,"Washington, DC",Silver Spring,201
169,https://www.inc.com/profile/valify,Valify,getvalify.com,TX,3100000,2276.0888,Software,36,7,2014,1,Dallas,Frisco,43
170,https://www.inc.com/profile/sapper-consulting,Sapper Consulting,sapperconsulting.com,MO,6400000,2274.4095,Advertising & Marketing,90,6,2014,2,"St. Louis, MO-IL",St. Louis,96
171,https://www.inc.com/profile/privy,Privy,http://privy.com,MA,3000000,2262.8641,Advertising & Marketing,30,3,2012,1,Boston,Boston,33
